Rice Type,Model,MAE,RMSE,MAPE,Runtime (sec)
Denorado,Random Forest,57.67875000000001,68.83141880408493,6.8239932502843,0.20706939697265625
Japanese Rice,Holt-Winters,72.51640373359686,100.48905576300129,13.326822811368055,0.12043142318725586
Jasmine,Holt-Winters,114.42686746394014,151.41169775024065,9.930150447022017,0.10501360893249512
Malagkit,Holt-Winters,68.52079221819085,93.29238767106575,14.83185482771055,0.12151622772216797
Pandan,Random Forest,91.94625,143.95172765114702,10.033692379581723,0.1890881061553955
